#Taken from Cocomac database (www.cocomac.org), the distances between any two voxels of two areas is computed, binned in a histogramm and the median of the distribution is taken as the inter-areal distance

	V3	FST	PO	PITd	1	Ri	2	FEF	3a	3b	45	V3A	AUD	MT	13	25	L	RL	Pall	Pro	PaS	TF	AITd	AITv	36	ER	35	MIP	PS	24	TH	23	6	29	7b	STPp	46	S	MSTl	DP	LIP	SMA	MDP	7a	VIP	9	5	4	PIP	V4t	CITv	Ig	V4	PrS	CM	SII	11	32	10	MSTd	12	Id	30	G	PA	14	AI	CA1	PITv	PIR	CITd	VOT	V2	V1	VP	STPa	MW	[???]	[??]	CA3	PAC
V4t	17.0038254859	15.7061458128	21.2798871676	11.6365606066	27.5222030907	16.6387592639	25.6596176321	40.3128338013	25.7252641999	26.251659035	43.8143777398	13.3550438117	18.0917924227	5.9737481573	39.8435516852	40.4543175606	21.2221159182	22.0451879845	34.3311690717	35.3839355716	23.4997212147	17.0658985465	29.0473226428	27.0434291465	33.1929530095	34.5120318476	37.3886374213	22.0931743227	13.8264840586	31.7383077145	18.9183570744	23.2969702154	36.7856381331	18.3487350457	20.7068564167	20.0384087023	46.3683359991	22.0421422552	9.8831148399	17.7741611882	18.5600851292	34.8171261998	26.3208806037	18.0478391156	16.3931854493	47.1988342538	22.9684090678	31.68675509	15.2451282319	0	21.0873722124	24.1517288384	9.9336313393	21.0566430698	16.0722930249	25.0940330004	42.4022922959	47.5213050557	52.6117302468	12.1084661462	41.7526492074	29.0206138528	19.6517108718	33.7541109637	19.8257261939	46.4772403445	16.3076078983	20.2114317184	14.8067469184	33.6723114055	19.2049981737	12.0573097121	20.5075843422	23.1293327593	15.0568416686	27.0028577553	nan	nan	nan	22.9124936538	31.9089245608
CITv	36.0372523303	11.8374536739	37.6028837175	12.6766317785	35.6213399945	25.5781558663	35.109762305	38.719457147	33.940964416	34.1600417485	39.663148455	32.6738478002	23.1913238419	21.6446715934	33.722554174	35.6743056847	16.8499000373	15.8833425578	28.1852821539	27.6440612012	17.127931197	14.5672631603	10.930337244	9.2711901455	17.4292467409	20.8301862673	22.0817067465	38.8462055761	22.1280377848	37.9433189465	18.2696508922	37.7679510414	39.4677273332	29.4560186079	31.9946699874	20.8933274806	43.2098316352	14.6950121518	17.698891087	37.6581640784	35.5166268316	41.3191486294	43.0795251237	33.8573136975	33.0707081091	47.0610110186	37.3643890757	37.4301083991	32.4414654322	21.0873722124	0	19.9415545293	22.5298780363	17.2526597788	20.4813669708	28.282117329	36.8532622214	43.2718752713	48.4848303085	25.7040235483	36.4316318025	25.2014702987	34.0578205121	29.7658445864	19.6460026539	41.412344504	20.1140962571	13.1942140986	9.2811007105	22.4363201246	6.3943931039	12.9432760506	33.447904535	38.7615239316	22.4359648742	13.8156912126	nan	nan	nan	12.1656070157	22.1015295228
Ig	36.5082609145	11.9323711314	36.8239407868	21.5275062038	20.9124765065	14.9887696403	21.5411150572	20.2535204268	21.4849867668	18.7855190758	21.8820650312	32.657848135	15.8942064141	22.0669025026	20.051656278	22.8086710167	8.4579992245	5.5245424726	17.3378067178	14.9098412424	23.7699460928	21.9904861341	19.2197237606	19.3185979969	19.6186724179	21.7079870526	21.0375179092	35.923981251	22.1564867748	23.9747627898	23.3041908657	29.8814093287	21.5936816944	27.2309770185	20.4476565332	14.1652587562	25.5652231393	20.2456035735	15.7917513849	35.3965749989	29.0249801113	25.5050362946	38.6837253373	28.6692240812	26.8589754773	29.3381302358	30.0575587586	21.6886546855	30.7723249591	24.1517288384	19.9415545293	0	29.1330524408	22.2519876293	11.8972650824	11.4451133686	20.9702293272	28.5507514132	32.3812472168	22.2991364436	19.529732576	6.4272840527	31.5008631147	11.3669655398	5.0918467419	27.0666013819	9.984825419	18.1470534299	21.7000032823	15.3815002769	17.6303834077	23.8287039763	38.2652915518	42.4989673347	30.7979060361	12.3145138385	nan	nan	nan	16.5478335533	17.9886669864
V4	18.5240177597	19.1752828406	24.5549073487	14.1272227945	33.2663167778	22.5437626897	31.2392697433	45.7973613706	31.0745335128	31.8501661586	49.1995801821	15.6244622431	23.8524309053	11.434621176	44.9988838947	45.4729361022	25.7982477615	26.4248032433	39.6663624602	40.1230868472	26.6310782254	20.0995949776	30.3239169504	28.9014804881	35.7919848812	37.6429128958	40.5462033386	25.6365576345	18.7797716155	37.2629330572	22.644627225	28.2327466859	42.0838890967	22.8369129528	26.351961713	25.465155014	51.5232244232	24.9981712404	15.6513436979	20.3770055116	23.2989926871	40.3378683556	30.4696688054	22.4354114216	21.4282212756	52.5619640159	27.7282778153	37.1016682018	18.5930531736	9.9336313393	22.5298780363	29.1330524408	0	23.8153824685	21.9731843863	30.7397163841	47.6174858642	52.6318461056	57.501657452	17.7582541914	46.989590686	34.2123574032	23.9669439181	38.9717444667	25.2494064032	51.6753609483	22.1849692167	23.2595081504	16.3308030868	37.8618827528	20.8533736748	13.0997595866	21.172709492	22.9099826645	14.5730112864	30.020924146	nan	nan	nan	25.8150660005	35.952453872
PrS	30.554314692	14.3482286358	29.5197923949	19.438342455	35.5658028557	24.3821911209	33.944686156	38.1804306378	31.5420113742	33.2894360227	40.0856960349	28.1689117543	23.7531738025	19.2232027969	31.9301755949	31.7292437315	19.8915266137	18.9970712367	25.2037636483	27.0092485968	6.3313122899	9.9785639743	18.137996365	15.1681590989	19.3527875011	16.7253120256	22.8473884644	30.7948843429	12.5605266549	34.3326224098	7.6045237711	30.7557301995	36.3614789503	20.1543095227	30.0167309122	22.6153882415	42.1389585117	7.5879873563	17.5464130796	32.6517858398	31.0687445112	38.1037781024	34.9258806468	30.1966291272	27.5014378048	44.6012991322	31.6173476425	35.9945377086	25.4994134492	21.0566430698	17.2526597788	22.2519876293	23.8153824685	0	21.87273259	27.8586066007	35.8912955865	39.9786919866	45.7828903328	22.5997453723	36.6731461854	26.0978687427	24.9740188868	30.2523764284	21.2847536516	38.775697076	20.297578616	8.842598613	18.0177787237	22.3941528534	16.4156088717	18.8332971642	28.8411098944	33.2474166652	21.7797658234	17.7834175394	nan	nan	nan	9.8949949909	18.136161088
CM	27.9104866377	9.8930704498	29.059665573	16.8774482146	20.2754984307	9.5699162387	19.4466077132	28.0887772873	18.0817838473	18.9997873347	31.260991402	24.1232477989	9.5700862868	13.7339631247	28.5119609606	30.0712646981	8.3508722562	10.3472695032	24.3631160037	24.0408743267	23.6815273543	19.4651267137	23.4836157323	22.4389012837	25.2422503821	27.362989474	28.549181966	28.2976800991	16.7154470612	23.871514642	20.240531667	23.9938307588	25.8080749033	21.6292528129	16.1303410878	9.4282544975	34.0815487929	20.793227464	7.5409478231	26.7495717535	20.8332427203	26.6626551215	31.7599122327	19.7168013836	19.1526524978	35.8765318839	23.1836283635	23.0266642833	22.637191681	16.0722930249	20.4813669708	11.8972650824	21.9731843863	21.87273259	0	14.5670526351	30.5532388293	36.3061670848	41.0236444458	12.6652464774	29.0454742717	16.6184590432	24.8138846617	21.4073744842	7.5679852436	35.2082389155	4.561868421	18.0542992743	18.9236809039	23.6555539232	17.5633513125	19.1913201863	30.777801271	34.3596450554	24.2892454413	17.5796964172	nan	nan	nan	17.8831707173	23.5319437766
SII	34.5230510156	18.4679188288	34.830319758	26.4891501993	15.1658502943	10.2849577487	15.7297571275	20.7494886378	17.3154414367	13.8237664072	23.4421768787	30.6322505057	18.8033381317	22.7881662168	23.1929693031	25.2737177434	16.9312140045	14.8054490801	21.1977462752	19.4615626933	30.2476138636	27.6398457334	27.884719775	28.2176869646	28.3294519488	29.2972297637	29.4581257011	33.3530919604	23.4161627016	22.4072695476	27.9028916169	27.2227682543	19.8951535226	26.8797482573	13.6266225021	20.9287901502	26.4216183816	26.958351998	17.9577941359	32.0005668267	24.7682040196	23.2247398532	35.7525418517	24.2470577591	23.7529664539	29.2569717758	26.2881263158	18.258175698	29.0175086187	25.0940330004	28.282117329	11.4451133686	30.7397163841	27.8586066007	14.5670526351	0	23.4656578251	30.4767765441	33.3367516311	20.6173902054	21.6178056328	10.2813288663	30.1746374227	12.6058809293	10.4678693089	29.4231750902	11.6942215477	24.7461736361	28.1266619703	22.3750021003	25.5467282164	28.8703332073	38.705502165	41.7522048977	33.5987599189	21.6955884309	nan	nan	nan	23.9400873929	24.2506738312
11	52.8583763807	30.6888077329	50.3350488799	40.4152026422	32.1144088283	30.0906659639	33.5165544796	13.0017450129	30.9867694242	29.9561907241	11.2060221177	48.9358819576	34.1326200619	39.8652899073	7.0921634891	11.2458613286	27.788799965	24.5656719161	13.293035924	10.6719343808	36.247555262	39.2131399414	31.0974211174	32.8594577942	28.4953073851	27.9834823563	27.0391106177	48.386695744	37.0519717716	22.1412524761	38.8679776501	39.1418293699	16.6316917611	39.5410767964	33.8483402187	33.4715703599	9.7895446899	35.2139095852	34.560542614	49.8508691301	42.5847418511	23.0495859854	50.2044606507	43.2902002354	39.9111716474	14.6583648669	41.6899885231	25.5181833451	45.2938292149	42.4022922959	36.8532622214	20.9702293272	47.6174858642	35.8912955865	30.5532388293	23.4656578251	0	10.4962837406	12.9217103932	39.3914706161	6.2891239002	15.5087523683	43.6702446554	13.7553800847	24.1458750513	9.4683548834	27.5304835057	33.7341173329	40.2609144584	18.7181910228	35.0275388125	42.4964466695	55.7239491478	59.5473247963	49.3712857183	26.447479743	nan	nan	nan	30.4752087298	22.1582456885
32	56.6919803762	36.9274471833	52.5737227133	46.366262313	38.1840616642	35.5608060265	39.1639842805	18.5778604101	33.8610582266	36.0283238552	19.0050886339	52.8078612594	40.0739801568	45.0474297005	10.6507432976	9.460391595	34.8188085549	31.7008121597	16.3116734532	17.0601250717	40.6804742751	44.0575182956	37.6081838679	39.1382349214	34.5570658244	32.7099749557	33.5805453302	50.5392612065	40.6895364659	22.7961938881	43.0690268075	41.1184401345	20.3644784657	42.0962014277	39.8734628757	40.4419421238	13.0613881423	39.7532164559	40.2153563441	53.054135736	46.9907016198	23.9887289568	51.734495587	47.6335100428	43.6971017641	14.0824607562	44.223931591	29.7455251526	48.8951100659	47.5213050557	43.2718752713	28.5507514132	52.6318461056	39.9786919866	36.3061670848	30.4767765441	10.4962837406	0	9.2958217228	44.2045927022	14.6161172028	23.4519976005	45.9966416078	22.6817187999	30.7762739503	4.7620233019	33.3737014877	38.4881222137	46.5184614799	24.5571428175	41.4674679525	48.6418934454	59.7300343176	63.3580655503	54.5937396798	33.382632239	nan	nan	nan	35.566547587	26.3319130655
10	61.7594291765	41.9445130595	58.1183225308	51.0431960687	41.3926644488	39.5996942563	42.3605642772	18.6209771161	37.0474046297	39.3226222705	17.7853526859	57.5010636815	44.0385454903	49.941153313	16.0168894269	16.7458089551	39.4200695272	36.1348890383	22.6478249371	21.9758832672	46.670037802	49.6035702943	42.8563423903	44.392883669	39.5842510233	38.4280567479	38.623480752	55.8570459199	46.691736008	26.7048750669	48.9366189647	45.6052693522	21.6986464612	47.8967131317	43.00736816	44.5471587129	10.7060464558	44.7890102025	45.0037380047	57.7881201857	51.053706367	26.3212205323	56.7802842654	51.8353689666	48.08648538	12.3250929536	48.1698423625	32.0984316666	54.0291089323	52.6117302468	48.4848303085	32.3812472168	57.501657452	45.7828903328	41.0236444458	33.3367516311	12.9217103932	9.2958217228	0	48.7724048503	15.0843797126	26.8668497528	51.4122811169	25.4944477561	34.9287697486	10.0451461489	37.9104868478	43.6976072026	51.5754754255	29.9392390494	46.6239433484	53.711067434	64.648811893	68.277816628	59.726484528	38.2853606649	nan	nan	nan	41.1386939151	32.4087409253
MSTd	19.4118126739	16.5308212623	20.5570622845	18.6736219167	21.4979709093	11.3834077757	19.5155048954	36.406999026	20.2910529123	20.4613855206	40.4694402182	15.3985014753	11.6374475917	9.9770469819	37.3309095454	37.6380559958	19.5385501538	20.9482451521	32.7052397886	33.4824834807	25.5608823553	20.1861226994	31.5602281575	30.0937716201	34.2521684385	35.1628883513	38.3150741948	20.2411111633	13.6437721647	26.9263221997	20.5554731296	19.2060289074	31.9276296511	16.5778864834	13.4757339705	16.0001378439	42.4128202552	24.4070083298	9.1254708261	17.0813707187	12.4188530956	29.5069046458	24.0718772771	10.9544998585	11.5104724953	42.6361957591	18.0157685089	26.1338846189	14.4513648961	12.1084661462	25.7040235483	22.2991364436	17.7582541914	22.5997453723	12.6652464774	20.6173902054	39.3914706161	44.2045927022	48.7724048503	0	38.5757356299	26.4176860061	17.8705024277	30.7685584527	17.8093175399	43.4740709578	13.5440815376	22.5491151744	21.5017361267	33.056079964	23.2401825078	19.7457413452	24.4043538464	26.7636494454	20.8593489593	27.2764428211	nan	nan	nan	24.1267599877	31.4385406724
12	52.4555109226	30.0254129258	50.6300512403	39.8843080057	31.0174529607	28.7835549734	32.3182639797	11.1584457022	30.1811354487	29.239188653	7.2650443153	48.4938628765	33.1687995118	39.4897456569	11.2630339647	15.5572871361	26.4870842758	23.3413512016	16.4232242385	12.3945048782	37.8525108244	39.1740380585	31.2455483261	32.8766171363	29.2806601203	29.3474930658	27.7915379704	48.5110346911	37.364535602	23.1593879015	39.165263305	39.782765761	16.2948915332	40.3018403994	32.1260423864	32.8592168843	9.0289501689	35.1120312502	33.3631862428	49.3042343538	42.2687198027	23.3569740038	50.3751998862	42.2276058962	40.0874997893	15.6314624251	41.4868108942	25.0206867435	45.7223016335	41.7526492074	36.4316318025	19.529732576	46.989590686	36.6731461854	29.0454742717	21.6178056328	6.2891239002	14.6161172028	15.0843797126	38.5757356299	0	13.4868081484	44.4287386336	11.1976074619	22.515737774	14.0055788596	26.3067437084	33.5543470498	39.5204783669	19.8833627697	34.4797126236	41.7861966014	55.5452679199	59.2812872317	48.8875583723	26.0080182617	nan	nan	nan	30.940921428	24.2534797565
Id	40.6001731416	17.3324707282	40.2326425171	26.9482391666	20.3208873963	17.0961182542	21.587710762	14.5776589256	21.7998976612	18.2581367813	15.9471975012	36.661624271	20.511615241	26.6979417083	15.751224411	18.9117397495	13.973253893	10.7190089246	14.7937882211	11.4962273114	27.7737282811	27.2262188347	22.3624997889	23.2925544283	21.9099899662	23.1711353648	21.6657255471	38.6378037989	26.0852062584	21.3973730004	27.788583257	31.1735626209	17.6058841216	30.192375516	20.8923163959	19.5952342831	19.749424801	24.3508790144	20.7727477688	38.5171683956	31.0626073514	22.4176359239	41.0543090824	31.0545841394	29.4094258848	23.829826407	31.9463352452	19.7446149426	34.143182356	29.0206138528	25.2014702987	6.4272840527	34.2123574032	26.0978687427	16.6184590432	10.2813288663	15.5087523683	23.4519976005	26.8668497528	26.4176860061	13.4868081484	0	34.3044065583	5.2835666322	9.6338853275	22.1164033294	13.9516575346	22.4861768321	27.2630893972	14.7425809577	22.7650846368	29.2739758713	43.1357075387	47.0565260349	36.1857107594	15.9391834501	nan	nan	nan	20.3788014538	18.4716256444
30	17.6727661003	25.7136207927	8.6285525461	28.2493416661	27.8831955232	21.6760653477	26.0266099738	41.9270530256	23.1583488716	25.3669034589	46.91216391	16.3746910932	25.9003252347	17.1869694392	40.2330311843	39.0456921517	30.6144475462	30.6834058147	34.6524399471	37.9258965378	27.7158146182	24.41709031	39.1416570345	36.8144450991	40.5271160984	38.6781837732	43.5628899709	9.9400738935	12.7872389238	26.8799201846	21.862042418	12.6402830297	36.7992563242	7.3071004255	24.8426758221	29.4598825774	47.1301741039	27.4615193938	20.576961989	17.2010962105	16.9665054408	30.8304442698	12.3688338658	18.6224603024	13.1284501191	45.6103752722	15.779066622	30.495057619	9.540340304	19.6517108718	34.0578205121	31.5008631147	23.9669439181	24.9740188868	24.8138846617	30.1746374227	43.6702446554	45.9966416078	51.4122811169	17.8705024277	44.4287386336	34.3044065583	0	38.5279931931	27.194426958	45.5990662169	23.4913695146	27.1695322681	30.5522920524	37.4719166723	32.2025591934	28.4612979064	25.24295692	25.0145961182	25.5788408312	35.2582156997	nan	nan	nan	29.450109069	34.2456396564
G	44.9584026931	22.2140330713	44.4749520754	31.7634999413	23.3291684793	20.7554944285	24.4530617531	14.3046031461	25.2278070164	21.5334186103	13.2683853371	41.0599974701	25.0571042392	31.330893522	15.0364414272	18.8641581512	18.8906967647	15.5627806139	15.6552587053	11.055096884	31.9872603049	31.8335632243	25.9006325234	27.3468752589	24.3324239276	25.2868294765	23.6091489856	42.7165055483	30.7354766384	23.530721157	32.4124037656	34.9664462675	18.7378623388	34.4770285302	23.695333554	24.4519407574	18.2611715352	28.7986845314	25.5219026895	42.4858688097	34.6790512947	24.4765399913	45.0000191749	34.7195182036	33.3878088738	23.5594817048	35.7762188479	22.1054144635	38.4728894665	33.7541109637	29.7658445864	11.3669655398	38.9717444667	30.2523764284	21.4073744842	12.6058809293	13.7553800847	22.6817187999	25.4944477561	30.7685584527	11.1976074619	5.2835666322	38.5279931931	0	14.5582582155	21.3373145341	18.5685850143	26.9575958642	32.0582198184	16.2439727139	27.4456257201	34.1503316801	47.7753146102	51.5992518396	40.956594279	20.0299460968	nan	nan	nan	24.8537637469	20.5978186974
PA	31.9661309904	9.8381124165	32.2997795906	18.6214061586	18.2997257535	10.9737995998	18.4274252308	22.2129910261	18.0667036761	16.6466303818	24.853969927	28.1413812188	13.249824458	17.8002921308	22.6273863075	24.7334841567	7.8756981978	6.2914863707	19.0342507197	17.844596945	22.954981674	19.9380666141	20.5904665629	20.1351999441	21.6082775377	23.2889133708	23.9119606748	31.6074529001	18.1857980562	22.3055179124	20.9961829471	25.9230890007	21.5671296791	23.2246565028	17.0163275601	13.1001804433	27.9526952171	19.6641806812	11.5952511834	30.8733401562	24.5859537832	24.193038643	34.4359895804	24.2847571433	22.4599140656	30.7287784397	25.8796092063	19.8491191833	26.3078488826	19.8257261939	19.6460026539	5.0918467419	25.2494064032	21.2847536516	7.5679852436	10.4678693089	24.1458750513	30.7762739503	34.9287697486	17.8093175399	22.515737774	9.6338853275	27.194426958	14.5582582155	0	29.4178921788	5.8307289907	17.1352413363	19.5995153327	18.0469716927	16.8162049126	20.7827729604	34.2667696257	38.2838337216	27.2718045374	14.2003599626	nan	nan	nan	16.1829777518	19.2193655507
14	56.1274023959	35.3814818588	52.2417884006	44.9862123999	37.675412253	34.7494518613	38.7805626917	18.4126329094	34.0873438042	35.655049827	18.566251156	52.4108716958	39.0659624203	44.1046295762	8.9486997068	8.382440345	33.1991457708	30.0733569594	14.7434441583	15.2696197985	39.2933412388	42.6679486334	35.6469787078	37.1649953475	32.9125934945	31.1608048871	31.7249281819	50.6069719454	39.6075200486	23.5044026132	41.6580677374	41.2656854331	20.7005374925	41.4833376358	39.1696400806	39.1069558245	13.2022981931	38.4837073247	38.9436201464	52.8660133337	46.5473246414	24.8513780306	51.9946141389	47.3062076883	43.418490761	15.2343496699	44.4683654483	29.8048449343	48.4327596772	46.4772403445	41.412344504	27.0666013819	51.6753609483	38.775697076	35.2082389155	29.4231750902	9.4683548834	4.7620233019	10.0451461489	43.4740709578	14.0055788596	22.1164033294	45.5990662169	21.3373145341	29.4178921788	0	32.2268375516	37.0966304946	44.802972227	22.7521744498	39.619088557	47.0719439186	58.945379035	62.7224171945	53.3474946613	31.4749212005	nan	nan	nan	34.1594899354	24.8186135649
AI	27.7970358429	9.4490954963	28.2427134618	16.8578912069	18.3673142874	7.7206079573	17.644482019	25.3212667097	16.1775339355	16.751786708	28.5450819627	24.0830385454	11.2645242056	14.0171762008	25.6397553396	27.0533336272	9.1449050001	9.6409371132	21.5756071125	21.3300755557	22.2448187808	18.6489480051	22.4434588879	22.0415399485	24.3299402804	25.6301668665	27.2845946368	27.2969552257	15.2477444264	22.0554561254	18.8513947628	22.6988594934	22.6729472322	19.8134022794	14.3098094283	11.8220142271	31.2490639679	19.4775051964	8.4538762201	26.4932415605	20.6049980728	24.1757898827	30.1886723238	19.9259042729	18.6061396435	33.1119506713	21.9829602725	20.293231243	22.2939339963	16.3076078983	20.1140962571	9.984825419	22.1849692167	20.297578616	4.561868421	11.6942215477	27.5304835057	33.3737014877	37.9104868478	13.5440815376	26.3067437084	13.9516575346	23.4913695146	18.5685850143	5.8307289907	32.2268375516	0	16.7638970937	18.456733675	21.3351580642	17.0779383234	19.0213964899	30.7813644107	34.396894617	24.4510350438	16.9901592054	nan	nan	nan	16.8711638865	21.2575326701
CA1	31.738157251	10.3153365475	31.4365702524	16.0973255608	32.609311664	22.5992079126	31.971430546	35.1710982553	29.2471501202	30.6814376256	36.9890197963	29.201733257	20.4118181751	19.0117072015	29.9054714262	30.4993862989	15.5709927785	14.6412273923	23.9836387605	24.2415598303	8.5751341713	8.9403421028	14.7372628675	12.1665975318	16.456330249	16.324266442	21.0887770459	33.0451158862	14.6001773858	32.3904064082	9.8007537755	31.9160830393	34.5986652291	22.41520617	28.6907337131	19.2068806753	39.3102373109	7.5872080707	15.5922636468	34.0167516654	32.0411324718	36.0185036981	36.9327134143	30.9499944518	28.7664649852	42.4175473444	32.3722952509	33.2004732681	27.2218555658	20.2114317184	13.1942140986	18.1470534299	23.2595081504	8.842598613	18.0542992743	24.7461736361	33.7341173329	38.4881222137	43.6976072026	22.5491151744	33.5543470498	22.4861768321	27.1695322681	26.9575958642	17.1352413363	37.0966304946	16.7638970937	0	14.1073000272	20.686362522	12.3734137085	15.5981855285	29.898999614	34.3069291957	20.6213604996	13.7746470843	nan	nan	nan	7.4676459738	17.3349505511
PITv	30.3581734148	11.1757905525	32.9399670266	8.266677361	34.2898255141	22.9397459832	33.3187768629	40.4969275891	31.7673510893	32.8278236028	42.2638655856	26.8498632976	22.2690799804	16.3347216177	37.3048563059	38.9892000609	18.3172012465	17.7053091827	31.6346863663	31.5541443048	18.904140283	14.0763237449	17.1792658915	15.440735205	23.3897917288	26.5066137	28.3318348515	34.0146923528	19.4154187888	36.9812130355	18.1237070404	34.4461552078	39.6425106085	26.5881640861	28.8973661372	21.6145582413	45.7649331128	15.8551228195	13.9434516908	31.8704687953	31.1579701325	40.4094825478	38.7172535351	29.6996864057	28.765647335	48.6874002682	33.5984818171	36.7897549008	27.5755411987	14.8067469184	9.2811007105	21.7000032823	16.3308030868	18.0177787237	18.9236809039	28.1266619703	40.2609144584	46.5184614799	51.5754754255	21.5017361267	39.5204783669	27.2630893972	30.5522920524	32.0582198184	19.5995153327	44.802972227	18.456733675	14.1073000272	0	27.3825150494	8.3380767863	7.4351607056	28.0337777193	32.9290615523	16.7974374146	18.3855784573	nan	nan	nan	14.6795804	26.6480598998
PIR	45.6961610774	19.8078408233	43.7797693051	28.7432866663	32.3387788097	26.4035165838	33.2399815304	24.4790027891	31.3504925195	30.2988109312	24.2166041079	42.4826029253	27.3036234313	31.5712601771	15.189069597	17.2551024518	18.2162100938	15.49513987	10.1942942898	9.7879156635	20.0463590797	26.2047026597	15.4932455493	17.4615039436	12.5061808797	11.1036977248	10.3721395765	43.7140457191	27.8635089898	27.8405685413	26.3262917766	37.4892805374	26.358587471	32.4212853621	32.1249517181	24.3215461029	26.3402525062	20.3106761201	26.3249878003	45.2174547566	39.571236069	30.7095269483	46.6880241139	39.6943966226	36.4933847573	30.5444841157	39.29880079	30.5114569954	39.3773040521	33.6723114055	22.4363201246	15.3815002769	37.8618827528	22.3941528534	23.6555539232	22.3750021003	18.7181910228	24.5571428175	29.9392390494	33.056079964	19.8833627697	14.7425809577	37.4719166723	16.2439727139	18.0469716927	22.7521744498	21.3351580642	20.686362522	27.3825150494	0	21.3166301739	30.4398548559	45.8494073225	50.8017299518	38.1942656451	13.0895160886	nan	nan	nan	16.1754553109	7.4181931769
CITd	34.3053173156	9.0368998112	35.8888995972	10.3543842475	33.603163502	22.6693466661	32.8129750843	36.4524382903	31.3387756583	31.8713952024	37.6666089877	30.9920416974	20.6868395548	19.5317290015	31.9751827474	33.9945136628	14.2582488912	13.5906972173	26.4443614088	25.9783637724	16.6434158249	13.906750208	10.7313863416	10.3462534376	17.2268691701	20.6955992452	21.6422006934	36.9629848914	20.2978734133	35.7851388238	17.2473539238	35.3906742149	36.5709003382	27.5786694611	29.1143159811	18.5497903222	41.2035231102	14.1479431524	15.1278450534	35.6734903096	33.0711625415	38.6922436943	41.0022427629	31.4108625311	30.7471189752	44.8569651225	34.9083677505	35.0326105352	30.5413446697	19.2049981737	6.3943931039	17.6303834077	20.8533736748	16.4156088717	17.5633513125	25.5467282164	35.0275388125	41.4674679525	46.6239433484	23.2401825078	34.4797126236	22.7650846368	32.2025591934	27.4456257201	16.8162049126	39.619088557	17.0779383234	12.3734137085	8.3380767863	21.3166301739	0	12.1763695592	32.5319828488	37.7375897503	22.0242825442	12.4033225899	nan	nan	nan	11.3961377356	21.1230863869
VOT	26.9280027405	12.8113390136	29.9952946595	8.5821308855	34.3010146403	22.6044901365	32.9720581903	42.0932888134	31.8970657223	32.8913396004	44.5282301077	23.3922009205	22.6596061625	13.734884095	39.6755738924	41.1629636443	20.2500026085	20.0659513853	33.8912209415	34.1144876127	20.2276878537	14.35835747	21.567228417	19.5228556695	27.3520498219	29.8392914358	32.14388149	31.0274808189	18.1130090089	37.4905474348	18.0715399707	32.7658270534	40.4398368946	25.077914555	27.9908831288	22.5324058391	47.6945161832	17.4349347461	13.2247386015	28.5482350655	29.0795461755	40.8747987436	36.0139001745	27.825800122	26.6163009025	50.1685265622	31.9408623098	37.2403795057	24.5656700329	12.0573097121	12.9432760506	23.8287039763	13.0997595866	18.8332971642	19.1913201863	28.8703332073	42.4964466695	48.6418934454	53.711067434	19.7457413452	41.7861966014	29.2739758713	28.4612979064	34.1503316801	20.7827729604	47.0719439186	19.0213964899	15.5981855285	7.4351607056	30.4398548559	12.1763695592	0	24.496942268	29.0192363939	12.7894353713	21.8113414876	nan	nan	nan	17.4189653192	29.3747979337
V2	17.8342937112	28.8822800596	23.8082959291	27.3110914098	39.6266599505	30.0513707167	37.6805685509	53.9188431598	37.6063862957	38.4240584914	57.797916972	18.1788343681	32.0030591169	19.9910761357	52.4841149312	52.0454432694	35.3745198077	35.8771830779	46.6337939436	48.0956866507	31.1051025415	24.8186795472	40.9277819547	38.1902128926	44.0460622557	44.1906996817	48.9696431131	26.005490672	22.3070260106	43.4202022646	26.2679241659	31.9083252714	49.8555317418	25.3797759935	33.2072043181	34.2675661606	59.4547068439	30.5735474353	24.4386209695	24.5532267743	27.5828317614	46.6287132193	30.8357895328	27.5883930915	25.80232664	59.9619305776	32.2231320117	43.6589929682	19.775921619	20.5075843422	33.447904535	38.2652915518	21.172709492	28.8411098944	30.777801271	38.705502165	55.7239491478	59.7300343176	64.648811893	24.4043538464	55.5452679199	43.1357075387	25.24295692	47.7753146102	34.2667696257	58.945379035	30.7813644107	29.898999614	28.0337777193	45.8494073225	32.5319828488	24.496942268	0	17.8644694083	16.1230466865	39.233163187	nan	nan	nan	32.9932096829	42.8873583317
V1	14.5536901615	33.689975325	21.460555904	31.5661778981	41.3164139401	32.5108205398	39.228873825	57.1438756585	39.3728069985	40.2921200248	61.3485471781	16.807949694	35.3125220256	22.5474229962	56.4960219314	55.8869896138	39.8011714768	40.5272001327	50.8847484596	52.4562816006	35.833878543	29.5560682861	46.3459993771	43.8417951215	49.0937690603	49.1779839793	54.4114633182	24.5124173351	25.8913392668	46.1168219574	30.7551051098	32.3791189158	52.5041487618	26.7220516332	35.1189825418	37.9944569149	62.9168358743	34.9892534019	28.3586439635	23.6553471449	27.7636288244	48.8688116706	29.2080624884	28.2272737756	26.3111921916	62.8893372676	32.7650187987	45.9009931539	18.8088034611	23.1293327593	38.7615239316	42.4989673347	22.9099826645	33.2474166652	34.3596450554	41.7522048977	59.5473247963	63.3580655503	68.277816628	26.7636494454	59.2812872317	47.0565260349	25.0145961182	51.5992518396	38.2838337216	62.7224171945	34.396894617	34.3069291957	32.9290615523	50.8017299518	37.7375897503	29.0192363939	17.8644694083	0	19.8677084582	44.3299708554	nan	nan	nan	37.8208019951	47.6895083955
