Distances provided by Rembrandt																																																																																												
																																																																																												
	F6	V3A	PIP	OPAI	PIR	TEav	ENTO	TEOm	7op	POLE	PBc	F1	F2	1	DP	7B	TEpv	MT	46v	F7	PERI	ProStr	29-30	12	TPt	TEam-a	25	45B	F3	TEad	OPRO	F4	FST	23	Gu	MW	TH-TF	V6A	STPr	46d	24d	8B	13	PBr	MIP	11	V2	AIP	V6	LB	Core	V4	10	24b	TEam-p	24a	9-46v	24c	8l	ProM	45A	IPa	SII	TEpd	9	MST	MB	LIP	44	STPi	5	INS	3	7m	PGa	2	8m	V1	31	F5	TEO	VIP	V4t	V3	7A	32	9-46d	Pi	STPc	8r	SUB	14
13	16.6915378057	47.0061609888	43.2903716037	8.5710007218	12.9484933378	28.5902463296	28.5275162668	37.3603031875	30.9430113534	21.9146875023	37.129976415	28.5430967643	22.0972371389	29.1892586715	50.1669497347	33.0763734147	34.6171954524	41.4319849824	10.1819553876	17.365389246	26.6942894026	37.2066285596	32.5765428101	6.6582184547	39.9781147098	25.7267238998	8.9844908017	12.8821068896	20.1577704667	29.0996317579	9.4149113985	17.0631619737	33.7748338869	24.7781876453	13.8237025047	26.7734818905	38.2737531108	43.3835674057	22.6372049404	11.7694759097	15.167357819	13.8174251053	0	25.55119671	42.8527110111	11.0811066943	44.9596170503	30.54257661	48.7439060482	28.3010287655	25.7491761753	41.81251103	16.2732770858	14.492855433	33.2932010584	13.1680940241	10.9244619767	12.2787606588	14.2630693161	15.5776298561	12.3161175024	24.9011985749	21.214424594	37.5047573322	16.0590678098	36.5105768686	20.4108293139	43.2014950369	11.0928674039	32.7419436536	42.6906038908	19.6329197811	32.402217457	43.5397550343	22.6273930675	22.0175662674	13.7031547053	50.1965536228	35.339160437	16.7655941871	42.9446166806	35.6357918123	45.5303932798	46.4225607167	39.3769535239	12.1070749724	13.0483253181	17.9567801763	36.2700064786	13.1787508396	29.5711122102	11.651263787
PBr	38.9850081015	38.9780485064	39.2793665817	22.743185982	14.1197730625	19.7439753128	22.6038357624	23.3067591225	27.8955863981	16.396188537	19.8035502424	34.8540752062	38.4938472903	29.7037281113	43.1454781781	32.1033228089	19.5577011189	29.7543329343	34.5152494517	39.3607978606	19.6218979928	29.8416806654	33.9239774833	28.6918695043	31.3496522013	13.1225523344	26.4025607629	27.9913594547	37.0276115691	17.8599254081	16.8692072823	28.5552699481	20.5146088461	32.5629265253	22.7489196454	27.8500653435	25.211798547	39.7329768123	6.6404863571	36.7752265597	33.4475533751	32.8046754778	25.55119671	0	40.8173103075	36.3977928539	34.9232917459	28.7853210645	41.2850270715	7.0396227708	5.4390980745	28.2341527212	41.1339900705	35.1219758148	19.030296336	34.4684668078	31.8439294879	36.9268970136	29.7764012322	24.8904299825	27.545092678	11.3882076475	23.1332455947	22.458306984	40.8929179504	25.0911617972	5.3282282446	39.6958204846	21.9296383498	13.3887407182	42.9101266357	14.1531986045	39.4682196203	43.7401696512	9.7261026148	26.8357795074	32.0294949084	41.2551344704	37.786125229	24.8357504366	28.6912037651	32.867585072	33.8527412317	34.4521389723	36.0858104139	36.7097083094	34.2775418726	11.1150206893	23.4888121766	29.3748104056	16.8351399997	35.0315024104
MIP	41.9092571642	13.4188746682	7.9064809868	39.4905094629	38.7649052594	45.3884905648	40.6631533639	30.9843235711	22.0428345379	44.7950473401	29.1671883334	23.0769252503	33.049215924	27.3484921976	18.8644357832	26.5933283295	32.6591706552	23.780552358	47.5328078352	42.5101284054	41.3882546414	15.8170318137	11.7087520014	44.9969363144	18.4495592685	39.1260964166	40.5298128104	42.1830567304	33.3699722364	43.9834864085	39.1091910747	29.9696369121	26.9406469568	20.8592938179	43.1397177775	18.1361621569	28.5734145075	4.2859626499	39.012283244	47.8221164322	34.6267802872	37.034171308	42.8527110111	40.8173103075	0	48.8157121127	27.6953443604	22.075498623	12.1209493311	36.1803164565	37.0847187446	26.311909449	53.3887089661	37.3063100037	37.223216818	38.2308825506	45.15548647	45.432557115	41.7883323039	42.8725419538	45.8093133042	36.550557763	31.6720863181	35.8177574507	49.4926642894	20.3254514379	39.1160835218	9.520686217	35.2434353387	32.3569856831	10.5413498665	30.1310232442	19.10641886	5.2124876509	37.0355232492	37.1051548476	39.5574592971	16.5091869709	9.8164951824	39.7905357078	30.436578278	8.4765191166	25.4810189106	27.3769064786	21.3175636666	46.5085570715	44.2500388817	41.5571579249	22.9518022742	39.6588015136	35.0614637871	48.0301678729
11	13.336529333	54.6707776217	49.7790414419	15.7601567738	23.5136815519	39.0583588591	37.5306955635	47.3394559348	39.5729265089	32.4798757164	46.3548516905	33.0765381268	22.4726765883	37.2551806502	57.2753639957	41.5939164039	44.9459877958	50.5445645808	7.7559431371	13.9876355477	36.0787539564	45.1526342525	38.1651020243	11.7062114374	47.7902226879	36.495681875	12.9288200741	20.1570562062	20.818162678	39.6648199719	20.0426722164	22.1632491879	43.5602155152	29.049742962	24.1964178621	33.2953659682	47.5384477295	49.7707278532	33.5184739054	5.5248687061	16.1431585204	15.3584996996	11.0811066943	36.3977928539	48.8157121127	0	53.651241449	38.5182061058	56.030387248	39.1678281122	36.6473539989	51.3446653738	5.1921703915	13.2069309187	43.988178397	11.7359224995	13.6211298329	5.4723101506	19.9699924896	25.0115308581	18.6622159498	35.5961759135	30.8031599142	48.0460245588	8.8314352395	45.4654015177	31.2574254578	49.9103395588	19.6110010425	43.2173286998	47.8645627697	29.5758284608	35.9562705614	48.5416933004	33.3821243993	32.2356188759	15.9546835615	57.7178262023	40.1818926453	26.1845154912	52.8273670208	42.3247761264	54.7392883759	55.1844825473	47.2380682559	4.1379941159	12.9379457004	28.5813846899	45.494881754	17.7770666393	39.6795271131	4.4973094761
V2	51.9107299522	19.3443274217	24.7296160621	39.90230718	35.567022742	35.6491342769	29.7427603399	20.8884045817	26.1211989342	39.0481871123	28.1731984892	38.0171930838	46.3697628056	35.223842081	26.0537185738	31.597092746	20.5792969866	17.3043921716	52.8675142304	52.6527766175	31.9711142493	13.1678633668	25.4252520345	48.4270525029	25.1028775795	30.7222373244	42.2639540766	46.590444947	45.9433922201	33.9678192025	37.6726281394	39.0686962626	17.8053002597	33.6791153915	44.1608873976	23.4882982991	16.1491936666	24.4988268551	31.9628807648	54.1858190431	44.2719435078	45.9668984073	44.9596170503	34.9232917459	27.6953443604	53.651241449	0	28.0952744247	21.6950164472	31.7439451057	31.7802505075	11.4425853644	57.844069046	46.3518758132	27.1048443169	46.4323746344	50.1654189389	52.4242008945	46.7324729787	44.5298677168	48.0319746924	28.288289678	35.075648606	24.6176010287	57.359722076	18.6477601251	33.8664422791	26.6438969817	39.1064090574	28.3986755182	35.5621417505	29.6418227943	37.2823929265	31.5056462789	29.7664740727	40.4902898657	46.9302607529	19.7502848035	29.2185891483	42.7468605093	18.0630825376	23.2297078182	20.2800369348	5.7751944039	29.2048739304	52.5151426009	50.8338795302	36.7196952931	21.6332988347	45.73759465	23.7096526991	51.4613838543
AIP	33.1323202472	23.5495626568	20.2097093187	30.0084063984	27.0996364548	37.5947604793	34.7871910412	24.0660082013	4.5610231512	34.6292357772	20.624761539	16.2772810476	26.7858635008	9.0877819126	24.4516329667	5.4596992745	26.8687390155	21.8033438244	35.0015809703	33.2526037301	34.6145060577	20.6823418085	19.2438673434	30.7004506485	10.7652387039	29.6770432909	32.1308076746	27.6346850625	26.8699945352	34.7576081339	27.1190593363	18.2206977861	19.9994902293	17.9215487373	25.9449824175	18.8885316344	28.6216121922	22.3506403729	27.7195259608	36.6775328035	26.1488984102	26.8116871636	30.54257661	28.7853210645	22.075498623	38.5182061058	28.0952744247	0	26.39756917	25.7025561022	25.7391427911	25.2984119265	43.6522488778	30.0979148362	29.4994577095	30.7964493723	31.2461079944	36.1348030901	27.7767130942	24.9280639146	30.1568185185	27.1015046374	13.2801534372	28.9456091475	39.0436467172	14.4179361276	26.4720329462	19.1790517629	20.122267009	22.6097414601	20.2655394074	15.6168813388	20.9894107536	24.0585817344	26.9650387552	18.0758748714	27.7741777375	27.6014358523	20.2765145419	21.2004794605	27.2102718772	13.8669928741	25.0620906958	28.4367923942	8.924612519	37.7790355622	31.8032730748	29.4656182726	15.7833880463	26.6501335616	28.9061758091	38.4720116848
V6	50.8648085734	3.5214192594	11.0380562238	44.3641450453	41.6631120871	44.9507014458	39.3452528294	27.1842886172	24.6978029075	46.0978062449	30.1815428121	33.0487278712	42.8240183947	33.9556894004	17.3611696524	29.3626737015	29.224295929	20.096407071	54.9141681965	51.6529330419	41.2333542697	13.3661298941	19.2263963397	51.443825165	20.6538304206	38.4773534197	45.9937368264	48.6080484402	43.0626647505	42.5662495282	43.0849676338	38.2005694042	24.0663265118	29.837554254	47.9139622734	23.135668224	26.196507372	8.3404566118	39.1655154199	55.6897669937	43.3392828611	45.649129736	48.7439060482	41.2850270715	12.1209493311	56.030387248	21.6950164472	26.39756917	0	36.8707740277	37.627281573	20.6406393597	60.4937861052	45.8651030365	34.5246674842	46.4702521217	52.0964789657	53.4447291813	48.6562274273	47.6390554002	51.5184664403	35.9018147661	35.5537263511	31.9130753846	57.9398538365	20.2131272228	40.4124949963	13.5110318668	41.4002028189	32.1828230526	22.13896727	33.4304806397	29.7238097345	15.8522680801	37.1190350662	40.7191343168	47.4587152888	4.6974616239	19.7268644958	44.6829633168	24.3726481471	15.3575965633	21.4652866607	20.206102842	24.3145314236	54.0990377499	51.9189672166	43.4391064172	23.1615132062	46.9231863291	33.2999463002	54.5446366542
LB	40.5263393232	34.3689713265	34.4443029796	26.0778714416	18.0854911448	23.880032589	25.510571871	21.2064832984	23.9889773415	21.4848991873	13.7702775073	33.0418585586	39.1264076523	27.8160456169	38.3254811328	29.2872246516	18.6235866101	25.2943914717	36.687255195	40.9031801715	23.2699486777	26.4073607433	30.7582700269	30.8466651577	25.7093716074	15.7962697611	29.6479610718	29.732305646	37.921214529	20.8760330695	20.3295394369	29.0368835907	17.7837457764	31.1297748201	25.4099722309	25.9485318075	25.1049803929	35.2202647374	11.1316548816	39.1376441596	34.7023383326	34.3081736915	28.3010287655	7.0396227708	36.1803164565	39.1678281122	31.7439451057	25.7025561022	36.8707740277	0	3.2865740054	25.9495122667	44.07932423	36.7934578675	18.4144077956	36.3057097424	33.5848756791	39.2782449394	31.3442118915	27.2014329469	29.8291995468	13.4409936437	23.4604519591	21.5427387521	42.9580273829	19.9506072537	9.4764831699	34.6947604206	23.3491938393	8.0578330799	37.9915180325	13.9456949706	37.2129446319	39.2528733251	12.7457092603	27.855476691	33.527704977	36.7929173353	34.2828081642	26.3131601206	26.76501897	28.1389086924	29.392799769	31.8486750517	30.4192812713	39.4692541273	36.0184880638	15.799012795	17.9808813877	30.8696946493	18.0875359369	37.9861995243
Core	38.0955414075	35.1825328915	35.3937464664	23.2805863362	15.2086126641	21.1233281154	23.1651825738	20.485851232	24.8036673708	18.6398391056	16.1395252124	32.6240630506	37.1213063056	27.4428631983	39.2078399559	29.3006756593	17.4849350129	26.050899017	34.1359113394	38.4723822558	20.6540469079	26.5877368967	31.0253405899	28.2953213021	27.2549254865	13.4831575036	26.8776450903	27.1809617904	35.8329342128	18.3462293044	17.499780661	27.02609324	17.3761500558	30.4384980745	22.8586283753	25.3616830953	23.8198347023	36.0310470551	8.3483682905	36.6377064663	32.4638351201	31.9075727549	25.7491761753	5.4390980745	37.0847187446	36.6473539989	31.7802505075	25.7391427911	37.627281573	3.2865740054	0	25.4311433837	41.4941508852	34.4026191534	16.9638673963	33.8641909169	31.0335318235	36.8026615692	28.9660035679	24.7967389862	27.2778556912	11.1278813863	21.5882428482	20.2769473137	40.4848206154	21.0318400644	6.7323302139	35.7435027125	21.0080866688	10.2018291665	39.0595413413	12.3443426376	37.0752143146	40.0872523701	10.212406511	25.4581791809	31.1716950961	37.5494248806	34.7088522136	23.9158626105	26.0888907217	29.0826093672	30.1493073144	31.5942161637	31.9910836991	36.9802283852	33.4671442082	13.0548598391	19.5346091652	28.5374199972	16.2044181038	35.3340110003
V4	49.8800960805	18.330797897	23.135721858	37.3849629996	31.3938290295	29.8436676548	26.0756198565	11.8583204656	23.324336436	33.6974449257	24.0546582374	35.5096997057	44.7021412876	32.326975902	24.6637572504	28.8002302479	11.9619777745	11.4939144437	49.7663054114	50.4917728232	27.7206353396	13.5446899288	25.4476241532	44.6937569009	22.4645557336	23.1940007124	40.2008208692	42.8474600574	44.2425544128	26.4957224405	33.921884622	36.3591208944	9.8295498241	32.7273011754	39.6540363303	23.5038597091	13.4290646271	22.9920282478	25.341137786	51.580443121	42.5010431336	43.6017763341	41.81251103	28.2341527212	26.311909449	51.3446653738	11.4425853644	25.2984119265	20.6406393597	25.9495122667	25.4311433837	0	55.6623996199	44.902935135	18.1792094702	44.9180757693	46.3606473059	50.4083419871	42.9894880891	39.8542848091	43.5491961513	21.3199162954	31.0791187459	14.8355318668	54.8665972094	15.5291080969	27.4074210625	24.9953269258	35.1430863357	23.2646839157	34.0492155043	24.5607482738	36.1825632232	30.2889685456	23.3298771478	37.1024862436	44.0615368693	19.3693324115	28.7841148724	38.0955058525	8.1695996186	21.7834694941	14.6862023417	8.0315705784	26.5665520846	50.6440373594	47.719348571	31.2129265055	17.7189781717	42.1637275529	17.7272068783	49.27009586
10	17.3125284368	59.2660649965	54.3978231267	19.4069732508	27.8446189401	43.1047183046	41.2008712912	51.8315288693	44.6266653707	36.7414684833	51.1594555452	38.0870528402	27.1212801463	42.404476342	62.0966913754	46.7639322403	49.1716446111	55.2149385192	12.0490289771	17.9569377164	39.748929684	49.4611730072	42.7899028155	16.5482331539	52.8155959686	40.5845007602	16.127636651	25.1458005582	25.598978297	43.854580477	24.4585827977	27.2660582253	48.0667924623	33.6774683044	29.3885882536	37.6844222393	51.2306403868	54.2438558	38.1398407748	9.5101062498	20.861708206	20.3284524601	16.2732770858	41.1339900705	53.3887089661	5.1921703915	57.844069046	43.6522488778	60.4937861052	44.07932423	41.4941508852	55.6623996199	0	17.428806962	48.1718722276	15.9475229328	18.1459905289	9.428109836	24.8840555133	30.0842991101	23.5042376663	39.7798697441	35.8516526524	52.2301954438	11.3670552057	50.3065905055	35.9936226744	54.5493317126	24.6925160978	47.9746534224	52.6662789665	34.4861547236	40.6907162001	53.0253059248	37.5779740803	37.4277892674	20.945005251	62.1559233789	44.9737713199	31.346651591	57.3339439679	47.0526941177	59.4096623143	59.4688745744	52.3537750721	7.3073881572	17.5463062326	32.995440075	50.2994856087	22.8944713145	43.4840137432	6.5964440798
24b	9.8957409319	44.8774347961	38.7979252976	16.2038741952	23.1583763356	37.8994034707	35.421126919	41.6927030097	31.7148550456	31.9532843593	39.4865956916	22.0868054924	12.0741037419	29.3845129421	46.7676133874	34.2011731511	40.7821672095	43.0104823688	13.867587992	10.8142830287	34.3722014791	36.6985597941	27.1605713692	15.9697037304	38.254462167	34.9584677164	14.1979121951	19.3166344593	10.0896415847	38.9772192707	20.1591821914	12.9024025741	37.6740168027	17.0310264807	25.2133667869	24.0209546166	44.074259849	38.7786785677	32.5194045132	12.0330924703	4.7283280358	8.0156427868	14.492855433	35.1219758148	37.3063100037	13.2069309187	46.3518758132	30.0979148362	45.8651030365	36.7934578675	34.4026191534	44.902935135	17.428806962	0	41.1054477092	1.8391785665	16.6025506903	8.5411669943	17.7414047504	25.9671783261	21.4287824697	33.5496641866	26.2198728599	44.179635559	13.9834580246	37.5288284672	30.1763021394	39.0066858262	16.0902508197	38.6213691898	36.0454085451	24.8767037835	24.3370270898	36.4899062212	31.7091933067	30.0928955449	10.9124588307	48.2694365405	28.3724670189	24.7528298871	46.8094212478	31.5899230723	47.2052061639	47.7024936417	38.1866257523	10.2105380842	13.2359392917	28.182643406	37.9784865652	14.0144587619	36.7382159954	14.3688994797
TEam-p	45.5770396234	32.2972889301	34.6943331588	29.0984520618	20.8785615309	18.5985843235	20.4087547819	10.1600033213	27.7858789488	20.9875153232	24.5880764229	37.5496003907	43.5223482956	32.4796470928	35.9724440153	33.4652062478	8.3395240967	18.4538597675	42.7323368254	46.160772196	18.7121163399	23.7097598315	31.9016375627	37.0411866771	29.1162008843	8.8891000426	32.5974402447	35.7825552392	42.264150201	12.2964772739	24.1800577645	33.8800313664	10.5223486228	34.4958507361	31.1637307416	26.6262191362	17.2817786377	34.9590257183	13.9738841629	44.6701264657	39.2225797685	39.426617761	33.2932010584	19.030296336	37.223216818	43.988178397	27.1048443169	29.4994577095	34.5246674842	18.4144077956	16.9638673963	18.1792094702	48.1718722276	41.1054477092	0	40.6539660603	39.6578620183	44.335637383	37.1613803237	33.1176353246	35.8944098507	8.3920024835	28.6026075727	6.816188148	48.7200419234	21.9403574434	16.9975569524	35.7498161117	29.1431770904	19.2491881814	41.1831732315	19.3396422347	40.4042759301	40.6384399564	10.919660733	33.4450204938	39.0526830966	34.0044010259	36.0195999201	32.2293624983	16.3061998888	30.0295028056	20.6257567635	25.2719272967	33.3165505011	43.9079119583	41.7787672019	18.9768164722	23.1668208272	36.5602998685	10.9781089455	41.8546088647
24a	10.056336012	45.4544960325	39.604468181	14.7861896129	22.0831887398	36.86732323	34.5342747098	41.5993161031	32.234957859	30.9417759677	39.6732603315	23.3957919078	13.2080564122	30.032945637	47.564710153	34.7815583095	40.4259754203	43.2133884602	13.0000778989	10.9748781089	33.2976862835	36.908830659	27.8396835039	15.1266347878	39.0415011979	34.1349871044	12.5945151426	19.1813460231	11.223594255	37.9879344474	19.0361438495	13.8032125214	37.6463201262	18.0938017564	24.4740696111	24.2558038548	44.0738985898	39.539197433	31.7251977827	11.1686402696	6.0467513456	8.7020952333	13.1680940241	34.4684668078	38.2308825506	11.7359224995	46.4323746344	30.7964493723	46.4702521217	36.3057097424	33.8641909169	44.9180757693	15.9475229328	1.8391785665	40.6539660603	0	15.9560039767	7.4395785375	17.9185470935	25.3907254281	20.8947252312	32.8237004497	26.2826928858	43.868116871	13.345611713	37.936828333	29.393316489	39.813446537	15.9341663255	38.4386007367	37.2055308211	24.7870005119	25.6534720315	37.5387202981	30.9177574494	29.9129576372	11.4067217395	48.7461817199	29.2900459959	24.473590163	46.843833375	32.3850752896	47.4081122552	47.8087948814	38.9424862262	8.7086661145	13.0850357336	27.1434717426	38.308923437	14.3158075154	36.0764981351	12.6171354704
9-46v	16.3187508238	50.0217891481	45.7838491851	18.1476144304	21.2755079861	36.7852776832	37.5939389936	41.9387026439	32.227015144	30.2417021506	39.848340658	28.1499980196	21.5563885728	29.7313393747	52.0803132513	33.6909354836	40.1796257812	44.7360406892	6.8156748039	16.4641469	35.1915902924	41.958446223	36.1381968996	5.2243402815	41.1739617747	33.00179087	18.3041191862	8.5184598763	20.0602801989	36.7380508125	17.9952038741	16.6381609256	37.9882095551	26.3991189228	16.5252140298	31.6722170736	45.4349729437	46.4120959515	29.2211173198	11.0814665889	15.7053609271	12.2718483535	10.9244619767	31.8439294879	45.15548647	13.6211298329	50.1654189389	31.2461079944	52.0964789657	33.5848756791	31.0335318235	46.3606473059	18.1459905289	16.6025506903	39.6578620183	15.9560039767	0	13.7565722405	7.6823731703	16.30430347	8.2019202512	31.7267582216	22.698203136	42.9709419356	15.451370878	39.1445026077	26.8490897139	45.4934053257	11.283007398	36.8721574024	43.2747370319	22.4409437056	32.8750669695	45.796448559	29.6053411503	24.0501727786	10.6918047972	53.4567264382	37.9334240915	17.7330067226	47.1949971019	37.9503745254	48.9065516732	51.1078092622	40.1274641463	15.6321853213	11.3624756864	25.5981454061	38.9883707215	8.197173088	36.8523214548	16.6090420417
24c	9.3166426729	52.2202550313	46.6786465335	16.5021858492	24.0851607805	39.5896820726	37.9402910071	46.5457700442	37.5886305249	33.051354945	44.8461750067	29.091003101	18.1211607653	35.0096825768	54.3172194545	39.6577178076	44.7785030946	48.9970369134	8.3254125919	10.0362573396	36.4883493999	43.3676282872	35.0760785606	12.8524780274	45.1515224333	37.0243181243	14.0492275089	19.7229609228	16.4471508382	40.2362992005	20.6106883101	18.8430043791	42.6868754006	25.2321369045	24.7978900725	31.029152063	47.9708047488	46.7189279088	34.1078406903	4.8174413701	11.709194703	11.5442081563	12.2787606588	36.9268970136	45.432557115	5.4723101506	52.4242008945	36.1348030901	53.4447291813	39.2782449394	36.8026615692	50.4083419871	9.428109836	8.5411669943	44.335637383	7.4395785375	13.7565722405	0	18.9948577756	25.6855546373	19.5683714842	35.9436348994	29.7722629129	47.8203956391	6.9913120296	43.671761632	31.7865296175	46.8673687592	18.4548372638	42.6113044918	43.924532732	28.6733545195	31.5599936891	44.7991114917	33.7924452486	32.2226684182	12.8694126638	55.5026552382	36.5758658534	26.054966081	51.8936629474	39.296872612	53.1917607085	53.828369576	44.7198764136	3.387783327	10.9572243538	29.0965440794	43.8366899648	15.635027811	39.927051721	8.5493581078
8l	17.5818335311	46.5815376096	42.2530923774	19.7555588201	20.7487789648	36.0679012406	36.6279360682	38.6722693357	28.7475356959	29.5737347386	36.3809434258	25.2737547867	19.9589742829	26.2518599266	48.6003527709	30.2958772255	37.4867571716	41.2565612411	13.6996382323	16.451604054	34.5133780941	38.5181946846	32.9646036803	10.0427447215	37.7337102362	31.4966306428	20.9020743345	3.7085965804	18.4628659089	35.5272550052	17.9482793667	13.9072533431	34.6464610475	23.7145204756	15.3889003325	28.697084401	42.9071733523	42.928268365	27.8468477417	17.7143994624	14.6404207111	10.8153216531	14.2630693161	29.7764012322	41.7883323039	19.9699924896	46.7324729787	27.7767130942	48.6562274273	31.3442118915	28.9660035679	42.9894880891	24.8840555133	17.7414047504	37.1613803237	17.9185470935	7.6823731703	18.9948577756	0	15.1380489542	8.1776307211	29.9033349491	19.6856166069	40.4306284914	19.9443808224	35.6650231596	25.4472733949	41.920615457	8.1990330301	33.9123289555	40.2265693194	19.2224392911	30.3547869693	42.6424637359	28.1001809232	22.2080260225	7.9916369222	50.0164748997	34.9480312562	15.8908599665	43.8532485943	34.4196177177	45.4436549742	47.63950032	36.6580692461	21.0147614817	10.9850152635	24.5968995498	35.5209734893	3.9387348423	34.6970483927	22.0298074778
ProM	27.3424341881	45.0208656431	42.4194612368	18.2943409363	15.0799847906	30.1232800058	31.5995201093	35.3811858691	24.6964876597	23.7290121829	33.8868872135	28.5553145447	29.6251325977	23.2936223822	47.4394169431	25.094382214	33.5439074369	38.6757785489	20.3378751388	27.1864441462	28.7625302249	37.1585053389	35.0984423491	13.7625878881	35.1862723008	25.9729264186	21.1328653293	11.9390369237	28.0346849427	29.7258225337	13.2603920666	20.1453551826	31.4685646489	28.8876986559	3.6758579835	29.7053982887	39.1309323153	43.3656304612	22.1220901923	23.831748707	23.9827736896	21.4359208572	15.5776298561	24.8904299825	42.8725419538	25.0115308581	44.5298677168	24.9280639146	47.6390554002	27.2014329469	24.7967389862	39.8542848091	30.0842991101	25.9671783261	33.1176353246	25.3907254281	16.30430347	25.6855546373	15.1380489542	0	9.346467497	24.9132385951	12.4573943988	36.430715242	28.0321328788	33.286849848	19.7500625864	41.9132128553	11.0459624539	30.208398644	41.9079314252	15.8965323028	35.8420290994	44.8272091507	22.5764766989	9.7631305358	19.9863739276	48.6113703798	37.9048104824	6.0948835157	40.6753521957	34.8063786844	42.7741868463	45.1795100163	33.4667158201	26.5649275046	21.431623349	18.7697952682	33.026917277	17.000689826	30.3452117266	26.3099416546
45A	21.5505901393	49.3109755623	45.9119413232	18.1910957884	17.8519894341	32.8299657311	34.3303922518	38.9262884124	30.7841236126	26.497668282	37.9434690698	29.9441506564	25.3392227133	28.4261935608	51.8164429725	31.8313382363	36.7112547155	42.6635968687	12.8862559937	21.3567473154	31.5311863241	40.6882449669	37.0484234262	6.9560045124	40.3604183578	28.6247200909	19.9605985535	5.5920194299	23.8431143394	32.3149913058	15.1083662557	18.7951308039	35.2821319095	28.5188165323	9.8490207607	31.8812788726	41.671451018	46.5534370587	24.7767528878	16.7874075127	19.77501126	16.1378803949	12.3161175024	27.545092678	45.8093133042	18.6622159498	48.0319746924	30.1568185185	51.5184664403	29.8291995468	27.2778556912	43.5491961513	23.5042376663	21.4287824697	35.8944098507	20.8947252312	8.2019202512	19.5683714842	8.1776307211	9.346467497	0	27.5024073672	19.1082541894	39.45154211	21.1573118019	37.3434317043	22.4047252819	45.4948451236	10.6805679366	33.6549744547	44.550463874	19.8770124037	35.3260113216	46.9388221274	25.2282703713	18.193361724	14.1299455933	52.6748178454	39.3764220789	12.3408091317	44.484824084	38.0944289707	46.762005166	48.8439713335	39.0381746704	20.9102246906	15.6019265183	21.3589640403	37.0834991334	10.7433265724	32.9343804986	21.2217877321
IPa	38.125840203	34.0430817778	35.0999131487	20.7064495783	12.4865590474	11.6163292175	13.0975079218	17.2771676934	26.1220378512	13.0849225122	22.5999824451	33.9351231435	37.396661209	28.8561597843	39.1801417925	30.6630375056	11.3126398994	24.7316267486	34.3403343419	38.7639139155	11.0208308254	23.418810537	29.1046456552	28.6491841935	30.2530897829	2.5755386536	24.2054377612	27.945221511	35.890172491	7.6561034965	15.788055281	28.0343933822	14.7169172758	29.9320907369	22.7717282581	22.5158122226	15.4422265154	34.6974512357	5.5818816794	36.2781239822	32.2924824969	32.1909909547	24.9011985749	11.3882076475	36.550557763	35.5961759135	28.288289678	27.1015046374	35.9018147661	13.4409936437	11.1278813863	21.3199162954	39.7798697441	33.5496641866	8.3920024835	32.8237004497	31.7267582216	35.9436348994	29.9033349491	24.9132385951	27.5024073672	0	23.3247285196	13.9063888834	40.3280394399	23.4028082336	8.6055544688	36.0783669353	22.0936939801	16.2687377084	40.2840529263	14.4140837463	36.915952922	39.4666469231	2.5276582495	27.2032599695	32.0318266016	36.0674708559	33.5194629907	25.282248079	22.1684576953	29.2525129001	27.7455694183	27.4196972036	33.8878553471	35.5159094748	34.0464287962	10.7349038033	22.8379054377	29.5045011608	6.5671404585	33.4626063812
SII	29.0032383675	32.880516088	30.6078743755	22.2824578589	19.1189647947	32.4199592101	31.7647799101	27.2627513569	12.3538161653	27.2487785218	24.1346793597	20.6703087173	26.5605866464	12.7085403853	35.3053521538	13.8937280016	27.8442573449	28.754185666	26.6476389658	29.1439450512	30.4047269462	27.2873751153	25.345736814	21.0070294477	22.8947777999	25.4375086374	24.8920137096	18.8221231924	25.7557230313	30.2473864254	18.3219591714	15.9508219991	23.196233385	21.2571923285	13.292349136	21.4939582782	33.0780676184	31.8811097716	21.9648115149	29.3632277507	22.9808035194	22.3221633653	21.214424594	23.1332455947	31.6720863181	30.8031599142	35.075648606	13.2801534372	35.5537263511	23.4604519591	21.5882428482	31.0791187459	35.8516526524	26.2198728599	28.6026075727	26.2826928858	22.698203136	29.7722629129	19.6856166069	12.4573943988	19.1082541894	23.3247285196	0	30.931510388	32.4264908713	22.4816743933	19.9498630583	30.0712892993	11.4865835769	23.719828354	30.7583207831	9.9585457211	27.4295108129	33.9237610706	22.113563632	6.1635722244	21.553149074	36.4710208248	27.9508146084	10.5474681223	32.139315108	23.52276872	32.9489094611	35.6502285628	21.7202032688	31.0062611676	24.6420127819	21.7720677679	23.0904643399	19.0696278554	27.2410171992	30.9132702119
